sample-T,sample-t,index,I,U,T,Capacity,SOC
5043.873054,166.7792726,8,-0.480656952,3.305923939,26.87637138,-0.016902186,9.84E-01
5044.883021,167.7892392,8,-0.480844796,3.30530858,26.95109558,-0.017037085,9.84E-01
5045.887176,168.7933945,8,-0.480844796,3.305000782,26.87637138,-0.017171208,9.83E-01
5046.897122,169.8033399,8,-0.961880147,3.227749109,26.98166466,-0.017441055,9.83E-01
5047.904183,170.8104012,8,-0.962068021,3.225594521,26.98166466,-0.017710183,9.83E-01
5048.911342,171.8175603,8,-0.962068021,3.224055767,26.83221626,-0.017979337,9.83E-01
5049.91435,172.820568,8,-0.962068021,3.222516775,26.87637138,-0.018247382,9.82E-01
5050.919321,173.825539,8,-0.962255836,3.220978022,26.90694237,-0.018516004,9.82E-01
5051.926353,174.8325718,8,-0.962068021,3.21943903,26.87637138,-0.018785125,9.82E-01
5052.93439,175.8406082,8,-0.961880147,3.218515635,26.90694237,-0.019054461,9.82E-01
5053.935468,176.8416869,8,-0.962068021,3.216976881,26.90694237,-0.01932199,9.81E-01
5054.937521,177.8437387,8,-0.962068021,3.215745687,26.90694237,-0.01958978,9.81E-01
5055.941347,178.8475652,8,-0.961880147,3.214822531,26.83221626,-0.019857991,9.81E-01
5056.944895,179.8511134,8,-0.962068021,3.213591337,26.98166466,-0.02012618,9.81E-01
5057.9497,180.8559177,8,-0.962068021,3.212667942,26.98166466,-0.020394705,9.80E-01
5058.95372,181.8599382,8,0.481225967,3.441037655,26.87637138,-0.020260494,9.80E-01
5059.961056,182.8672744,8,0.481225967,3.443499804,26.90694237,-0.02012584,9.81E-01
5060.964823,183.8710408,8,0.481413782,3.445961952,26.90694237,-0.01999161,9.81E-01
5061.969878,184.8760965,8,0.481225967,3.447500944,26.87637138,-0.01985726,9.81E-01
5062.971007,185.8772256,8,0.481225967,3.449039698,26.83221626,-0.019723435,9.81E-01
5063.976003,186.8822208,8,0.481225967,3.45057869,26.72690964,-0.019589094,9.81E-01
5064.97809,187.8843085,8,0.481225967,3.452425241,26.87637138,-0.019455141,9.81E-01
5065.980135,188.886353,8,0.481413782,3.453656435,26.83221626,-0.019321141,9.81E-01
5066.989135,189.8953545,8,0.000190588,3.377943516,26.83221626,-0.019321088,9.81E-01
5067.994368,190.9005865,8,0.000190588,3.378251314,26.80164337,-0.019321035,9.81E-01
5068.994388,191.9006069,8,0.000190588,3.378559113,26.83221626,-0.019320982,9.81E-01
5069.996284,192.902502,8,0.000190588,3.378866911,26.87637138,-0.019320929,9.81E-01
5071.003433,193.9096515,8,0.000378419,3.379174709,26.90694237,-0.019320823,9.81E-01
5072.013383,194.9196008,8,0.000190588,3.378866911,26.83221626,-0.019320769,9.81E-01
5073.017451,195.9236687,8,0.000190588,3.378866911,26.90694237,-0.019320716,9.81E-01
5074.021485,196.9277034,8,0.000378419,3.379790306,26.86278915,-0.019320611,9.81E-01
5075.028538,197.9347563,8,0.000378419,3.379482508,26.83221626,-0.019320505,9.81E-01
5076.028727,198.9349453,8,2.76E-06,3.379482508,26.83221626,-0.019320504,9.81E-01
5077.029672,199.93589,8,0.000190588,3.380098104,26.93751144,-0.019320451,9.81E-01
5078.03868,200.9448984,8,0.000190588,3.380405664,26.90694237,-0.019320398,9.81E-01
5079.041939,201.9481571,8,0.000190588,3.380713463,26.80164337,-0.019320345,9.81E-01
5080.050803,202.9570212,8,0.000190588,3.380405664,26.90694237,-0.019320291,9.81E-01
5081.059825,203.9660435,8,0.000378419,3.381021261,26.90694237,-0.019320185,9.81E-01
5082.068927,204.9751455,8,0.000378419,3.381021261,26.90694237,-0.019320079,9.81E-01
5083.071926,205.9781443,8,-0.480656952,3.304692984,26.86278915,-0.019453995,9.81E-01
5084.08113,206.9873479,8,-0.480656952,3.30346179,26.83221626,-0.01958874,9.81E-01
5085.081996,207.9882141,8,-0.48103261,3.302230835,26.90694237,-0.019722476,9.81E-01
5086.08907,208.9952877,8,-0.480844796,3.30130744,26.83221626,-0.019856989,9.81E-01
5087.090447,209.9966655,8,-0.480844796,3.300691843,26.83221626,-0.019990741,9.81E-01
5088.098135,211.0043527,8,-0.480844796,3.299768448,26.90694237,-0.020125335,9.81E-01
5089.107203,212.0134216,8,-0.480844796,3.29915309,26.83221626,-0.020260115,9.80E-01
5090.109386,213.0156047,8,-0.480656952,3.298845291,26.83221626,-0.020393922,9.80E-01
5091.11736,214.023578,8,-0.480469137,3.298229694,26.75748444,-0.02052845,9.80E-01
5092.119364,215.0255825,8,-0.480656952,3.297614098,26.78805923,-0.020662233,9.80E-01
5093.126421,216.0326388,8,-0.480844796,3.296690702,26.86278915,-0.020796744,9.80E-01
5094.135466,217.0416846,8,-0.480656952,3.296075106,26.86278915,-0.020931467,9.80E-01
5095.135707,218.0419256,8,-0.480656952,3.295767546,26.83221626,-0.021065015,9.80E-01
5096.142541,219.0487598,8,-0.480844796,3.294844151,26.83221626,-0.021199496,9.80E-01
5097.149711,220.0559289,8,-0.480656952,3.294228554,26.81863594,-0.021333969,9.79E-01
5098.157696,221.0639145,8,-0.480656952,3.293920755,26.86278915,-0.021468551,9.79E-01
5099.164681,222.0708992,8,-0.480656952,3.293305159,26.86278915,-0.021603,9.79E-01
5100.16593,223.0721476,8,-0.480656952,3.2926898,26.75748444,-0.021736682,9.79E-01
5101.175825,224.0820426,8,-0.480844796,3.292382002,26.89336205,-0.021871572,9.79E-01
5102.177868,225.0840863,8,-0.480844796,3.291766405,26.83221626,-0.022005413,9.79E-01
5103.178049,226.0842673,8,-0.480656952,3.291458607,26.86278915,-0.022138953,9.79E-01
5104.182969,227.0891874,8,-0.480844796,3.29084301,26.86278915,-0.022273178,9.79E-01
5105.184016,228.0902342,8,-0.480656952,3.290535212,26.96808434,-0.022406833,9.78E-01
5106.194229,229.1004475,8,-0.480844796,3.289919615,26.93751144,-0.022541766,9.78E-01
5107.195133,230.101351,8,-0.480656952,3.289611816,26.81863594,-0.022675402,9.78E-01
5108.195197,231.1014153,8,-0.480656952,3.288996458,26.78805923,-0.022808926,9.78E-01
5109.19719,232.1034082,8,-0.480844796,3.288380861,26.92393684,-0.022942761,9.78E-01
5110.200245,233.1064633,8,-0.480656952,3.288380861,26.89336205,-0.023076684,9.78E-01
5111.201324,234.1075419,8,-0.480844796,3.287765265,26.89336205,-0.023210396,9.78E-01
5112.205268,235.1114862,8,-0.480656952,3.287457466,26.92393684,-0.023344439,9.77E-01
5113.213393,236.1196112,8,-0.480656952,3.287149668,26.92393684,-0.02347904,9.77E-01
5114.213592,237.1198114,8,-0.480844796,3.286534071,26.89336205,-0.023612634,9.77E-01
5115.217665,238.1238831,8,-0.480844796,3.285918713,26.96808434,-0.023746746,9.77E-01
5116.219838,239.1260562,8,-0.480656952,3.285918713,26.89336205,-0.023880552,9.77E-01
5117.228978,240.1351963,8,-0.480844796,3.285303116,26.86278915,-0.024015341,9.77E-01
5118.231684,241.1379022,8,-3.849219322,2.7590065,26.86278915,-0.025087462,9.76E-01
5119.240863,242.1470815,8,-3.849219322,2.747618914,26.86278915,-0.026166504,9.75E-01
5120.247876,243.1540943,8,-3.849219322,2.740847826,26.89336205,-0.02724323,9.74E-01
5121.251833,244.1580509,8,-3.849219322,2.735000134,26.92393684,-0.028316688,9.73E-01
5122.258945,245.1651631,8,-3.849219322,2.730075598,26.81863594,-0.02939352,9.72E-01
5123.262049,246.168267,8,-3.849219322,2.725459099,26.89336205,-0.030466067,9.71E-01
5124.268018,247.1742362,8,-3.849219322,2.721765757,26.84921265,-0.031541677,9.70E-01
5125.276577,248.1827954,8,-3.849219322,2.717764616,26.86278915,-0.032620056,9.69E-01
5126.28307,249.1892885,8,-2.405925512,2.940286398,26.92393684,-0.033292708,9.68E-01
5127.286121,250.1923393,8,-2.405737638,2.941209793,26.78805923,-0.033963007,9.67E-01
5128.292271,251.198489,8,-2.405737638,2.940286398,26.92393684,-0.034635377,9.67E-01
5129.299221,252.2054387,8,-2.405737638,2.939055443,26.92393684,-0.035308282,9.66E-01
